,"Feb 11"
"Ordinary Income/Expense",""
"Income",""
"1000 · INCOMES",""
"1001 · Maintenance Fee",5648.35
"1003 · Late Fee",150.00
"1006 · Parking Rental",200.00
"1007 · Laundry",319.63
"1008 · Banquet Hall Rent",100.00
"1010 · Remote",50.00
"Total 1000 · INCOMES",6467.98
"Total Income",6467.98
"Gross Profit",6467.98
"Expense",""
"2000 · OPERATING EXPENSES",""
"2001 · Management Fees",378.00
"2002 · Postage and Delivery",30.02
"2003 · Printing & Reproduction",72.00
"2004 · Collection Process",612.00
"2005 · Filing Fees",96.25
"2006 · Bank Service Charges",8.00
"2008 · Licenses and Permits",195.00
"2010 · Taxes",350.00
"2011 · Reimbursed Income",148.53
"2013 · Elevator Monitoring Serv",36.00
"Total 2000 · OPERATING EXPENSES",1925.80
"3000 · REPAIRS",""
"3001 · Pool Service",100.00
"3004 · Elevator Maintenance",160.00
"3005 · Roof Repairs",1350.00
"3009 · Janitorial Service",400.00
"3012 · Fire Equioments Maintenance",262.66
"Total 3000 · REPAIRS",2272.66
"4000 · UTILITIES",""
"4001 · FPL",598.07
"4002 · Waste Service",504.31
"4003 · Elevator Telephone",71.37
"4004 · Water",""
"4004-1 · Water Agreement",570.12
"4004 · Water - Other",1922.93
"Total 4004 · Water",2493.05
"Total 4000 · UTILITIES",3666.80
"Total Expense",7865.26
"Net Ordinary Income",-1397.28
"Net Income",-1397.28
