,"Feb 11"
"Ordinary Income/Expense",""
"Income",""
"1000 · INCOME",""
"1001 · Association Fee",-195.82
"1003 · Interest Income",22.47
"Total 1000 · INCOME",-173.35
"Total Income",-173.35
"Gross Profit",-173.35
"Expense",""
"2000 · OPERATING EXPENSE",""
"2002 · Management Fees",955.00
"2005 · Janitorial Services",437.00
"2008 · Meeting Room - Rent",225.00
"2009 · Insurance",25.22
"2013 · Postage and Delivery",106.04
"2014 · Printing and Reproduction",696.50
"2015 · Professional Fees",""
"2016 · Legal Fees",4361.49
"Total 2015 · Professional Fees",4361.49
"2020 · Filing Fees",61.25
"2021 · Collection Process",338.75
"Total 2000 · OPERATING EXPENSE",7206.25
"3000 · Repairs",""
"3001 · Building Repairs",85.00
"3003 · Irrigation Services",2147.20
"3005 · Landscaping Services",3000.00
"Total 3000 · Repairs",5232.20
"4000 · Utilities",""
"4001 · Gas and Electric",""
"4001 - FPL 06252-70400",31.23
"4001 - FPL 06752-77404",65.39
"4001 - FPL 35628-73590",45.36
"4001 - FPL 96591-78439",20.23
"Total 4001 · Gas and Electric",162.21
"Total 4000 · Utilities",162.21
"5000 · Taxes",450.00
"66900 · Reconciliation Discrepancies",-0.03
"Total Expense",13050.63
"Net Ordinary Income",-13223.98
"Net Income",-13223.98
