,"Jan 11"
"Ordinary Income/Expense",""
"Income",""
"1000 · INCOME",""
"1001 · Association Fee",34377.83
"1003 · Interest Income",25.48
"Total 1000 · INCOME",34403.31
"Total Income",34403.31
"Gross Profit",34403.31
"Expense",""
"2000 · OPERATING EXPENSE",""
"2005 · Janitorial Services",447.00
"2012 · Miscellaneous",225.02
"2015 · Professional Fees",""
"2016 · Legal Fees",633.97
"Total 2015 · Professional Fees",633.97
"2021 · Collection Process",263.75
"Total 2000 · OPERATING EXPENSE",1569.74
"3000 · Repairs",""
"3003 · Irrigation Services",520.00
"3004 · Tree Services",1887.20
"3005 · Landscaping Services",3000.00
"Total 3000 · Repairs",5407.20
"4000 · Utilities",""
"4001 · Gas and Electric",""
"4001 - FPL 06252-70400",35.49
"4001 - FPL 06752-77404",56.97
"4001 - FPL 96591-78439",20.53
"Total 4001 · Gas and Electric",112.99
"Total 4000 · Utilities",112.99
"Total Expense",7089.93
"Net Ordinary Income",27313.38
"Net Income",27313.38
