,"Jan 11"
"Ordinary Income/Expense",""
"Income",""
"1000 · INCOME",""
"1001 · Reg. Assc.",7401.00
"1003 · Late Fee",260.00
"Total 1000 · INCOME",7661.00
"Total Income",7661.00
"Expense",""
"2000 · Operating Expenses",""
"2001 · Management Fee",1044.00
"2002 · Printing and Repoducction",619.50
"2003 · Postage",72.47
"2004 · Collection Proces",711.00
"2007 · Bank Services Charge",61.11
"2012 · Pool Services",187.00
"2014 · Janitorial & Custodial",500.00
"Total 2000 · Operating Expenses",3195.08
"3000 · Repairs",""
"3002 · Electrical Repairs",600.00
"3005 · Landscaping Services",1100.00
"Total 3000 · Repairs",1700.00
"4000 · Utilities",""
"4100 · FPL",""
"4101 · FPL # 04694-56388 (16613/72Av)",31.90
"4102 · FPL # 20810-26417 (16613/71Av)",286.96
"4103 · FPL # 33319-78381 (16617/73CT)",28.36
"4104 · FPL # 65847-68219 (16615/72PL)",28.23
"4105 · FPL # 76156-27382 (16615/73Av)",24.67
"4106 · FPL # 79229-64387 (16619/71Av)",21.08
"4107 · FPL # 80832-52547 (16631/73PL)",56.92
"4108 · FPL # 89542-85386 (16621/71CT)",31.09
"4109 · FPL # 93838-71515 (16617/70CT)",41.05
"4110 · FPL#9827395584(16602/72Av)Pool",167.34
"Total 4100 · FPL",717.60
"Total 4000 · Utilities",717.60
"Total Expense",5612.68
"Net Ordinary Income",2048.32
"Net Income",2048.32
